scope_percent,kmeans_inside_accuracys,kmeans_outside_accuracys,nn_ouside_accuracys,same_result_accuracys
0,,0.6274165202108963,,
1,0.8571428571428571,0.6245551601423488,0.6245551601423488,1.0
2,0.9230769230769231,0.6205035971223022,0.6205035971223022,1.0
3,0.8888888888888888,0.6188747731397459,0.6188747731397459,1.0
4,0.7916666666666666,0.6201834862385321,0.6201834862385321,1.0
5,0.7241379310344828,0.6222222222222222,0.6222222222222222,1.0
6,0.7142857142857143,0.6217228464419475,0.6217228464419475,1.0
7,0.7073170731707317,0.6212121212121212,0.6212121212121212,1.0
8,0.717391304347826,0.6195028680688337,0.6195028680688337,1.0
9,0.7115384615384616,0.6189555125725339,0.6189555125725339,1.0
10,0.7068965517241379,0.6183953033268101,0.6144814090019569,0.9921722113502935
11,0.71875,0.6158415841584158,0.6158415841584158,1.0
12,0.7101449275362319,0.616,0.616,1.0
13,0.6933333333333334,0.6174089068825911,0.6174089068825911,1.0
14,0.691358024691358,0.6168032786885246,0.6168032786885246,1.0
15,0.686046511627907,0.6169772256728778,0.6169772256728778,1.0
16,0.6847826086956522,0.6163522012578616,0.6163522012578616,1.0
17,0.6701030927835051,0.6186440677966102,0.6186440677966102,1.0
18,0.6601941747572816,0.6201716738197425,0.6201716738197425,1.0
19,0.6363636363636364,0.6252723311546841,0.6252723311546841,1.0
20,0.6347826086956522,0.6255506607929515,0.6255506607929515,1.0
21,0.6528925619834711,0.6205357142857143,0.6205357142857143,1.0
22,0.6666666666666666,0.6162528216704289,0.6162528216704289,1.0
23,0.6818181818181818,0.6109839816933639,0.6109839816933639,1.0
24,0.6934306569343066,0.6064814814814815,0.6064814814814815,1.0
25,0.6993006993006993,0.6032863849765259,0.6032863849765259,1.0
26,0.697986577181208,0.6023809523809524,0.6023809523809524,1.0
27,0.6948051948051948,0.6024096385542169,0.6024096385542169,1.0
28,0.6894409937888198,0.6029411764705882,0.6029411764705882,0.9950980392156863
29,0.6927710843373494,0.6004962779156328,0.6004962779156328,1.0
30,0.6918604651162791,0.5994962216624685,0.5994962216624685,1.0
31,0.6949152542372882,0.5969387755102041,0.5969387755102041,1.0
32,0.7049180327868853,0.5906735751295337,0.5906735751295337,1.0
33,0.708994708994709,0.5868421052631579,0.5868421052631579,1.0
34,0.711340206185567,0.584,0.584,1.0
35,0.705,0.5853658536585366,0.5853658536585366,1.0
