scope_percent,kmeans_inside_accuracys,kmeans_outside_accuracys,nn_ouside_accuracys,same_result_accuracys
0,,0.7002314814814815,,
1,0.3157894736842105,0.7045055588063195,0.7045055588063195,1.0
2,0.4594594594594595,0.7054997043169722,0.7054997043169722,1.0
3,0.49056603773584906,0.706865671641791,0.706865671641791,1.0
4,0.5277777777777778,0.7077294685990339,0.7077294685990339,1.0
5,0.5402298850574713,0.708714198659354,0.708714198659354,1.0
6,0.5333333333333333,0.7110289587184226,0.7110289587184226,1.0
7,0.532258064516129,0.713216957605985,0.713216957605985,1.0
8,0.5357142857142857,0.714735516372796,0.714735516372796,1.0
9,0.5253164556962026,0.7178343949044586,0.7178343949044586,1.0
10,0.5287356321839081,0.7194337194337195,0.7194337194337195,1.0
11,0.546875,0.7194010416666666,0.7194010416666666,1.0
12,0.5523809523809524,0.7206851119894598,0.7206851119894598,1.0
13,0.5462555066079295,0.7235176548967355,0.7235176548967355,1.0
14,0.5450819672131147,0.7257412398921833,0.7257412398921833,1.0
15,0.5538461538461539,0.726158038147139,0.726158038147139,1.0
16,0.5555555555555556,0.728088336783989,0.728088336783989,1.0
17,0.5622895622895623,0.7288609364081062,0.7288609364081062,1.0
18,0.5718849840255591,0.7286219081272085,0.7286219081272085,1.0
19,0.5770392749244713,0.7294201861130994,0.7294201861130994,1.0
20,0.5821325648414986,0.7299058653149891,0.7299058653149891,1.0
21,0.5863013698630137,0.7307410124724871,0.7307410124724871,1.0
22,0.5942408376963351,0.7303120356612184,0.7303120356612184,1.0
23,0.5964912280701754,0.7313769751693002,0.7313769751693002,1.0
24,0.6019184652278178,0.7315026697177727,0.7315026697177727,1.0
25,0.6096997690531177,0.7305019305019305,0.7305019305019305,1.0
26,0.6150442477876106,0.7304075235109718,0.7304075235109718,1.0
27,0.6153846153846154,0.7317460317460317,0.7317460317460317,1.0
28,0.6185567010309279,0.7320997586484312,0.7320997586484312,1.0
29,0.6190476190476191,0.7336601307189542,0.7336601307189542,1.0
30,0.6211538461538462,0.734271523178808,0.734271523178808,1.0
31,0.620817843866171,0.7361344537815127,0.7361344537815127,1.0
32,0.6263537906137184,0.7350936967632027,0.7350936967632027,1.0
33,0.6311188811188811,0.7344290657439446,0.7344290657439446,1.0
34,0.6338983050847458,0.7346221441124781,0.7346221441124781,1.0
35,0.6342668863261944,0.735950044603033,0.735950044603033,1.0
36,0.6352,0.7370806890299184,0.7370806890299184,1.0
37,0.6390625,0.7362132352941176,0.7362132352941176,1.0
38,0.6388467374810318,0.7380729653882133,0.7380729653882133,1.0
39,0.6336779911373708,0.7431018078020932,0.7431018078020932,1.0
40,0.6363636363636364,0.7429951690821256,0.7429951690821256,1.0
41,0.6286919831223629,0.7502458210422812,0.7502458210422812,1.0
42,0.6286107290233838,0.7522477522477522,0.7522477522477522,1.0
43,0.6268456375838927,0.7558494404883012,0.7558494404883012,1.0
44,0.6299212598425197,0.7556935817805382,0.7556935817805382,1.0
45,0.6346153846153846,0.7542194092827004,0.7542194092827004,1.0
46,0.6386449184441656,0.7529538131041891,0.7529538131041891,1.0
47,0.6375921375921376,0.7560175054704595,0.7560175054704595,1.0
48,0.6382211538461539,0.7578125,0.7578125,1.0
49,0.6438679245283019,0.7545454545454545,0.7545454545454545,1.0
50,0.6450867052023121,0.7555040556199305,0.7555040556199305,1.0
51,0.6493212669683258,0.7535545023696683,0.7535545023696683,1.0
52,0.6522222222222223,0.7524154589371981,0.7524154589371981,1.0
53,0.6525054466230937,0.754320987654321,0.754320987654321,1.0
54,0.653475935828877,0.755359394703657,0.755359394703657,1.0
55,0.6586134453781513,0.7512886597938144,0.7512886597938144,1.0
56,0.6639175257731958,0.7467018469656992,0.7467018469656992,1.0
57,0.6676798378926039,0.7435897435897436,0.7435897435897436,1.0
58,0.6686567164179105,0.7441217150760719,0.7441217150760719,1.0
59,0.6699314397649363,0.743988684582744,0.743988684582744,1.0
60,0.6679499518768046,0.7489114658925979,0.7489114658925979,1.0
61,0.6663507109004739,0.7533432392273403,0.7533432392273403,1.0
62,0.6644920782851818,0.7587786259541984,0.7587786259541984,1.0
63,0.6657509157509157,0.7594339622641509,0.7594339622641509,1.0
64,0.6657633242999097,0.7616747181964574,0.7616747181964574,1.0
65,0.6684444444444444,0.7595356550580431,0.7595356550580431,1.0
66,0.6681260945709282,0.7627986348122867,0.7627986348122867,1.0
67,0.6681034482758621,0.7658450704225352,0.7658450704225352,1.0
68,0.66723259762309,0.7709090909090909,0.7709090909090909,1.0
69,0.6683417085427136,0.7715355805243446,0.7715355805243446,1.0
70,0.6683168316831684,0.7751937984496124,0.7751937984496124,1.0
71,0.6677524429967426,0.78,0.78,1.0
72,0.6663993584603047,0.7879417879417879,0.7879417879417879,1.0
73,0.6677215189873418,0.7887931034482759,0.7887931034482759,1.0
74,0.66796875,0.7924107142857143,0.7924107142857143,1.0
75,0.6687211093990755,0.7953488372093023,0.7953488372093023,1.0
76,0.6714828897338403,0.7917675544794189,0.7917675544794189,1.0
77,0.6721680420105026,0.7949367088607595,0.7949367088607595,1.0
78,0.674074074074074,0.7936507936507936,0.7936507936507936,1.0
79,0.675932699341624,0.7922437673130194,0.7922437673130194,1.0
80,0.6787003610108303,0.7871720116618076,0.7871720116618076,1.0
81,0.6802284082798001,0.7859327217125383,0.7859327217125383,1.0
82,0.6800563777307963,0.7928802588996764,0.7928802588996764,1.0
83,0.6808362369337979,0.7952218430034129,0.7952218430034129,1.0
84,0.6806607019958706,0.8036363636363636,0.8036363636363636,1.0
85,0.6800271739130435,0.81640625,0.81640625,1.0
86,0.6807795698924731,0.8208333333333333,0.8208333333333333,1.0
87,0.6810631229235881,0.8295964125560538,0.8295964125560538,1.0
88,0.6826544021024967,0.8300970873786407,0.8300970873786407,1.0
89,0.6837662337662338,0.8351063829787234,0.8351063829787234,1.0
90,0.6842105263157895,0.8470588235294118,0.8470588235294118,1.0
91,0.6848792884371029,0.8571428571428571,0.8571428571428571,1.0
92,0.6859296482412061,0.8676470588235294,0.8676470588235294,1.0
93,0.6884328358208955,0.8583333333333333,0.8583333333333333,1.0
94,0.6902274124154887,0.8613861386138614,0.8613861386138614,1.0
95,0.6911854103343466,0.8795180722891566,0.8795180722891566,1.0
96,0.6939759036144578,0.8529411764705882,0.8529411764705882,1.0
97,0.696247766527695,0.8367346938775511,0.8367346938775511,1.0
98,0.6979351032448378,0.8181818181818182,0.8181818181818182,1.0
99,0.699357851722125,0.8,0.8,1.0
100,0.7002314814814815,,,
