scope_percent,kmeans_inside_accuracys,kmeans_outside_accuracys,nn_ouside_accuracys,same_result_accuracys
0,,0.9933333333333333,,
1,1.0,0.9904761904761905,0.9904761904761905,1.0
2,1.0,0.9904761904761905,0.9904761904761905,1.0
3,1.0,0.9904761904761905,0.9904761904761905,1.0
4,1.0,0.9904761904761905,0.9904761904761905,1.0
5,1.0,0.9902912621359223,0.9805825242718447,0.9902912621359223
6,1.0,0.9902912621359223,0.9902912621359223,1.0
7,1.0,0.9902912621359223,0.9902912621359223,1.0
8,1.0,0.9902912621359223,0.9902912621359223,1.0
9,1.0,0.9901960784313726,0.9901960784313726,1.0
10,1.0,0.9900990099009901,0.9900990099009901,1.0
11,1.0,0.9900990099009901,0.9900990099009901,1.0
12,1.0,0.9900990099009901,0.9900990099009901,1.0
13,1.0,0.99,0.99,1.0
14,1.0,0.98989898989899,0.98989898989899,1.0
15,1.0,0.9897959183673469,0.9897959183673469,1.0
16,1.0,0.9897959183673469,0.9897959183673469,1.0
17,1.0,0.9894736842105263,0.9894736842105263,1.0
18,1.0,0.9894736842105263,0.9894736842105263,1.0
19,1.0,0.9893617021276596,0.9893617021276596,1.0
20,1.0,0.9893617021276596,0.9893617021276596,1.0
21,1.0,0.9888888888888889,0.9888888888888889,1.0
22,1.0,0.9888888888888889,0.9888888888888889,1.0
23,1.0,0.9887640449438202,0.9775280898876404,0.9887640449438202
24,1.0,0.9887640449438202,0.9887640449438202,1.0
25,1.0,0.9887640449438202,0.9887640449438202,1.0
26,0.9848484848484849,1.0,1.0,1.0
27,0.9848484848484849,1.0,1.0,1.0
28,0.9850746268656716,1.0,1.0,1.0
29,0.9852941176470589,1.0,1.0,1.0
30,0.9855072463768116,1.0,1.0,1.0
31,0.9855072463768116,1.0,0.9876543209876543,0.9876543209876543
32,0.9857142857142858,1.0,1.0,1.0
33,0.9857142857142858,1.0,1.0,1.0
34,0.9875,1.0,1.0,1.0
35,0.9875,1.0,1.0,1.0
36,0.9875,1.0,1.0,1.0
37,0.9876543209876543,1.0,1.0,1.0
38,0.9878048780487805,1.0,1.0,1.0
39,0.9878048780487805,1.0,0.9852941176470589,0.9852941176470589
40,0.9878048780487805,1.0,1.0,1.0
41,0.9883720930232558,1.0,0.984375,0.984375
42,0.9885057471264368,1.0,0.9841269841269841,0.9841269841269841
43,0.9886363636363636,1.0,1.0,1.0
44,0.9886363636363636,1.0,1.0,1.0
45,0.9886363636363636,1.0,1.0,1.0
46,0.9888888888888889,1.0,1.0,1.0
47,0.9888888888888889,1.0,0.9833333333333333,0.9833333333333333
48,0.9888888888888889,1.0,1.0,1.0
49,0.9888888888888889,1.0,1.0,1.0
50,0.9888888888888889,1.0,0.9833333333333333,0.9833333333333333
51,0.9904761904761905,1.0,1.0,1.0
52,0.9904761904761905,1.0,1.0,1.0
53,0.9904761904761905,1.0,1.0,1.0
54,0.9904761904761905,1.0,1.0,1.0
55,0.9906542056074766,1.0,1.0,1.0
56,0.9906542056074766,1.0,1.0,1.0
57,0.9906542056074766,1.0,1.0,1.0
58,0.9907407407407407,1.0,1.0,1.0
59,0.9908256880733946,1.0,1.0,1.0
60,0.990909090909091,1.0,1.0,1.0
61,0.9911504424778761,1.0,1.0,1.0
62,0.9911504424778761,1.0,1.0,1.0
63,0.9912280701754386,1.0,1.0,1.0
64,0.991304347826087,1.0,1.0,1.0
65,0.991304347826087,1.0,1.0,1.0
66,0.991304347826087,1.0,1.0,1.0
67,0.992,1.0,1.0,1.0
68,0.992,1.0,1.0,1.0
69,0.9920634920634921,1.0,1.0,1.0
70,0.9920634920634921,1.0,1.0,1.0
71,0.9921259842519685,1.0,1.0,1.0
72,0.9921875,1.0,1.0,1.0
73,0.9922480620155039,1.0,1.0,1.0
74,0.9922480620155039,1.0,1.0,1.0
75,0.9922480620155039,1.0,1.0,1.0
76,0.9925373134328358,1.0,1.0,1.0
77,0.9925373134328358,1.0,1.0,1.0
78,0.9925925925925926,1.0,1.0,1.0
79,0.9925925925925926,1.0,1.0,1.0
80,0.9926470588235294,1.0,1.0,1.0
81,0.9928057553956835,1.0,1.0,1.0
82,0.9928571428571429,1.0,1.0,1.0
83,0.9928571428571429,1.0,1.0,1.0
84,0.993006993006993,1.0,1.0,1.0
85,0.993006993006993,1.0,1.0,1.0
86,0.9930555555555556,1.0,1.0,1.0
87,0.993103448275862,1.0,1.0,1.0
88,0.9931506849315068,1.0,1.0,1.0
89,0.9931506849315068,1.0,1.0,1.0
90,0.9931506849315068,1.0,1.0,1.0
91,0.9931972789115646,1.0,1.0,1.0
92,0.9932432432432432,1.0,1.0,1.0
93,0.9932432432432432,1.0,1.0,1.0
94,0.9932432432432432,1.0,1.0,1.0
95,0.9932432432432432,1.0,1.0,1.0
96,0.9933333333333333,,,
97,0.9933333333333333,,,
98,0.9933333333333333,,,
99,0.9933333333333333,,,
100,0.9933333333333333,,,
